FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,,4,,,3,,,,,7
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,,,,,,,,,0
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,4,,,3,,,,,3,10
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,11,10,,14,9,,19,3,65,131
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,,,5,,,5
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,,0
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,2,,,,,,,2,62,66
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,,,,,,,,,,0
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,5,5
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,0
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,0
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,0
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,0
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,0
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,0
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,0
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,,,,0
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,1,,,,5,6
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,Acc,,,,,,,,,,0
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,0
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,0
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,0
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,1,,,,,,,,1
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,,,,,,,,,,0
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,Mb,,,,,,,,,,0
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,21,15,2,8,26,,,12,4,88
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,R,,,,,,,,,,0
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,0
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,13,5,,2,2,,,,,22
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,,,,,,,,,,0
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,0
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,0
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Ma,,,,,,,,,,0
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,Ma,,,,,,,,,,0
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,1,,3,,1,2,2,4,2,15
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,,,,,,0
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,0
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,18,1,,,,19
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,,,,,,0
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,9,,14,4,,,,,,27
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,,,,,,,,,,0
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,,,1,1
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,0
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,,23,2,,,,25
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,,,,,,,,0
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALVI,Aphriza virgata,Chorlo de las rompientes,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALCA,Calidris canutus,Playero de Groenlandia,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,4,19,,23
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,1,3,,,7,,,11
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,,,,,,0
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,,,,,0
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,0
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,3,,,,,,3
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,0
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,0
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,2,6,,2,4,,4,2,,20
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,2,,35,,,,,,37
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,1,,2,8,,,,1,,12
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,0
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,0
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,0
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,0
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,192,,,,,192
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,0
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,0
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,114,10,,20,3,,,,,147
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,3,,,,,,,3
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,,,,,,,,,,0
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,24,1404,,19,1500,,82,30,905,3964
LARIDAE,LARBE,Larus belcheri,Gaviota peruana,Ml,,,,,13,,,,,13
LARIDAE,LARDO,Larus dominicanus,Gaviota dominicana,Ml,,2,,,,,,,,2
LARIDAE,STELO,Sternula lorata,Gaviotín peruano,Ml,,,,,,,,,,0
LARIDAE,PHASI,Phaetusa simplex,Gaviotin picudo,Acc,,,,,,,,,,0
LARIDAE,GELNI,Gelochelidon nilotica,Gaviotín picogrueso,Mb,,,,,,,,,,0
LARIDAE,LARIN,Larosterna inca,Zarcillo,Ml,,,,,,,,,,0
LARIDAE,CHLNI,Chlidonias niger,Gaviotín negro,Mb,,,,,,,,,,0
LARIDAE,STEHDO,Sterna hirundo,Gaviotín común,Mb,,,,,,,,,,0
LARIDAE,STEPA,Sterna paradisaea,Gaviota del artico,S,,,,,,,,,,0
LARIDAE,STEHEA,Sterna hirundinacea,Gaviotín sudamericano,Mb,,,,,,,,,,0
LARIDAE,STETR,Sterna trudeaui,Gaviotin corona gris,Mb,,,,,,,,,,0
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,,1,,,,1
LARIDAE,THASA,Thalasseus sandvicensis,Gaviotín patas negras,Mb,,,,,,,,,,0
LARIDAE,THAMA,Thalasseus maximus,Gaviotín real,Mb,,,,,,,,,,0
SPHENISCIDAE,SPHHU,Spheniscus humboldti,Pingüino de humboldt,S,,,,,,,,,,0
DIOMEDEIDAE,PHOIR,Phoebastria  irrorata,Albatros de las galápagos,Mb,,,,,,,,,,0
PROCELLARIIDAE,MACGI,Macronectes giganteus,Petrel gigante antártico,S,,,,,,,,,,0
PROCELLARIIDAE,DAPCA,Daption capense,Petrel damero,S,,,,,,,,,,0
PROCELLARIIDAE,PACBE,Pachyptila belcheri,Petrel azul picofino,S,,,,,,,,,,0
PROCELLARIIDAE,PUFGR,Ardenna grisea,Pardela oscura,S,,,,,,,,,,0
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,0
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,0
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,0
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,0
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,0
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,0
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,0
SULIDAE,SULNE,Sula nebouxii,Piquero de Pata Azul,Mb,,,,,,,,,,0
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,209,,,,209
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,,,,,0
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,4,235,39,268,65,1,10,,,622
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,,,,,0
PELECANIDAE,PELOC,Pelecanus occidentalis,Pelícano marrón,Mb,,,,,,,,,,0
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,71,108,,,,179
ARDEIDAE,IXOEX,Ixobrychus exilis,Garcita leonada,R,,1,,,,,,,,1
ARDEIDAE,NYCNY,Nycticorax nycticorax,Garza huaco,R,,22,4,,1,,,13,,40
