FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,,,,,,,,,,0,
LARIDAE,LARBE,Larus belcheri,Gaviota peruana,Ml,,,,,40,,,,,40,
LARIDAE,LARDO,Larus dominicanus,Gaviota dominicana,Ml,,18,,1,23,,11,,,53,
LARIDAE,STELO,Sternula lorata,Gaviotín peruano,Ml,,,,,,,,,,,
LARIDAE,PHASI,Phaetusa simplex,Gaviotin picudo,Acc,,,,,,,,,,,
LARIDAE,GELNI,Gelochelidon nilotica,Gaviotín picogrueso,Mb,,,,,,,,,,,
LARIDAE,LARIN,Larosterna inca,Zarcillo,Ml,,,,,,10,,,,10,
LARIDAE,CHLNI,Chlidonias niger,Gaviotín negro,Mb,,,,,,,,,,,
LARIDAE,STEHDO,Sterna hirundo,Gaviotín común,Mb,,,,,,,,,,,
LARIDAE,STEPA,Sterna paradisaea,Gaviota del artico,S,,,,,,,,,,,
LARIDAE,STEHEA,Sterna hirundinacea,Gaviotín sudamericano,Mb,,,,,,,,,,,
LARIDAE,STETR,Sterna trudeaui,Gaviotin corona gris,Mb,,,,,,,,,,,
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,,,,,,,
LARIDAE,THASA,Thalasseus sandvicensis,Gaviotín patas negras,Mb,,,,,,,,,,,
LARIDAE,THAMA,Thalasseus maximus,Gaviotín real,Mb,,,,,,,,,,,
SPHENISCIDAE,SPHHU,Spheniscus humboldti,Pingüino de humboldt,S,,,,,,,,,,,
DIOMEDEIDAE,PHOIR,Phoebastria  irrorata,Albatros de las galápagos,Mb,,,,,,,,,,,
PROCELLARIIDAE,MACGI,Macronectes giganteus,Petrel gigante antártico,S,,,,,,,,,,,
PROCELLARIIDAE,DAPCA,Daption capense,Petrel damero,S,,,,,,,,,,,
PROCELLARIIDAE,PACBE,Pachyptila belcheri,Petrel azul picofino,S,,,,,,,,,,,
PROCELLARIIDAE,PUFGR,Ardenna grisea,Pardela oscura,S,,,,,,,,,,,
PROCELLARIIDAE,PELGA,Pelecanoides garnotii,Potoyunco Peruano,Acc,,,,,,,,,,,
HYDROBATIDAE,OCEOC,Oceanites oceanicus,Golondrina de mar de wilson,S,,,,,,,,,,,
HYDROBATIDAE,OCEMA,Oceanodroma markhami,Golondrina de mar de Markham,S,,,,,,,,,,,
HYDROBATIDAE,OCEHO,Oceanodroma hornbyi,Golondrina de mar de collar,Ma,,,,,,,,,,,
CICONIIDAE,JABMI,Jabiru mycteria,Cigüeña jabirú,Acc,,,,,,,,,,,
CICONIIDAE,MYCAM,Mycteria americana,Cigüeña gabán,Acc,,,,,,,,,,,
FREGATIDAE,FREMA,Fregata magnificens,Avefragata magnifica,Acc,,,,,,,,,,,
