FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,,,6,,,6
FALCONIDAE,FALSP,Falco sparverius,Cernícalo,R,,,2,3,,,,,,5
FALCONIDAE,FALPE,Falco peregrinus,Halcón Peregrino,Mb,,,,,,,,,,0
FURNARIIDAE,PHLME,Phleocryptes melanops,Totorero,R,2,5,,3,,,1,7,2,20
TYRANNIDAE,TACRU,Tachuris rubrigastra,Siete colores de la totora,R,2,4,,2,5,,,4,2,19
TYRANNIDAE,PYRRU,Pyrocephalus rubinus,"Turtupillín, putilla",R,,1,,,,,1,3,2,7
TYRANNIDAE,TYRME,Tyrannus melancholicus,Tirano tropical o pepite,R,,,2,,,,,,1,3
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,9,29,4,17,10,,,99,12,180
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,2,5,,2,1,,2,4,12,28
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,,,,,,2,1,,,3
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,1,,,,,1
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,,,,,,0
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",Ml,,,,,,,,,,0
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,,4,,,,,,19,,23
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,7,,,,,,1,,2,10
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,,,,,,,,1,,
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,,,,,,0
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,MI,,,,,1,,,,,1
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,1,1
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,,0
ICTERIDAE,LEIBE,Leistes bellicosa,"Huanchaco, Pecho colorado",R,,1,,,,,2,2,1,6
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,2,,,,,2,4
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,2,2,,,2,,7,,,13
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,,4,,,2,,,,,6
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,8,,,,,,,,56,64
