NOMBRE COMUN,STATUS,T-8
Santa Rosita,R,99.0
Polla de agua,R,34.0
Pato colorado,R,28.0
Triguero común,R,19.0
Pata amarilla menor,Mb,11.0
Totorero,R,7.0
Playerito semipalmado,Mb,7.0
Falaropo de Wilson,Mb,7.0
Pata amarilla mayor,Mb,5.0
Siete colores de la totora,R,4.0
Chorlo doble collar,R,4.0
Pato gargantillo,R,4.0
Cucarachero,R,4.0
Perrito o cigüeñuela,R,3.5
"Turtupillín, putilla",R,3.0
Paloma cuculi,R,3.0
Playero manchado,Mb,2.0
"Huanchaco, Pecho colorado",R,2.0
Garza tamanquita,R,2.0
Garza huaco,R,2.0
Gavilán oscuro acanalado,R,2.0
Garza grande,R,1.0
Gallineta común,R,1.0
Gallinazo cabeza negra,R,1.0
"Gallareta andina, Huayno",R,1.0
Espiguero corbatón,Ml,1.0
