NOMBRE COMUN,STATUS,T-7
Gaviota de Franklin,Mb,2000.0
"Cushuri, cormorán, cuervo de mar",R,54.0
Gallinazo cabeza negra,R,19.0
Santa Rosita,R,16.0
"Tordo grande, tordo negro",Ml,15.0
Paloma cuculi,R,13.0
"Huanchaco, Pecho colorado",R,10.0
Tordo amazónico cabeza amarilla,R,10.0
"Turtupillín, putilla",R,9.0
"Paloma doméstica, paloma de castilla",R,9.0
Playero pico fino,Mb,7.0
Triguero común,R,6.0
Totorero,R,6.0
Chorlo doble collar,R,5.0
Lechuza de los arenales,R,4.0
Madrugadora o rabiblanca,R,3.0
Playero manchado,Mb,3.0
Gavilán oscuro acanalado,R,2.0
Huerequeque,R,2.0
Cernícalo,R,2.0
Cucarachero,R,1.0
Espiguero corbatón,Ml,1.0
Siete colores de la totora,R,1.0
Garza grande,R,1.0
