NOMBRE COMUN,STATUS,T-2
Gaviota de Franklin,Mb,1500.0
Yanavico,R,62.0
Gallinazo cabeza negra,R,61.0
"Cushuri, cormorán, cuervo de mar",R,47.0
Garza bueyera,R,42.0
Gaviota capucho gris,R,29.0
Garza huaco,R,18.0
Paloma cuculi,R,8.0
Playero manchado,Mb,7.0
Pato colorado,R,6.0
Totorero,R,5.0
Siete colores de la totora,R,5.0
Polla de agua,R,4.0
Triguero común,R,4.0
Zambullidor grande,R,4.0
"Gallareta andina, Huayno",R,4.0
Garza tamanquita,R,3.0
"Tordo grande, tordo negro",Ml,3.0
Gaviota peruana,Ml,3.0
"Huanchaco, Pecho colorado",R,2.0
Zambullidor pico grueso,R,2.0
Pato gargantillo,R,2.0
Cucarachero,R,2.0
Santa Rosita,R,2.0
Gallineta común,R,1.0
Garza grande,R,1.0
Gavilán oscuro acanalado,R,1.0
