NOMBRE COMUN,STATUS,T-7
Gallinazo cabeza negra,R,41.0
Paloma cuculi,R,27.0
Polla de agua,R,18.0
"Cushuri, cormorán, cuervo de mar",R,17.0
Gaviota dominicana,Ml,14.0
Chorlo doble collar,R,11.0
Madrugadora o rabiblanca,R,9.0
Santa Rosita,R,7.0
Tordo amazónico cabeza amarilla,R,6.0
Chisco,R,4.0
Totorero,R,4.0
Playero pico fino,Mb,4.0
"Huanchaco, Pecho colorado",R,3.0
Gavilán oscuro acanalado,R,3.0
Lechuza de los arenales,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Garza grande,R,2.0
Cernícalo,R,2.0
Garza blanca chica,R,2.0
Garza bueyera,R,2.0
"Turtupillín, putilla",R,1.0
Cucarachero,R,1.0
Garza azul,R,1.0
Amazilia costeña,R,1.0
Yanavico,R,1.0
Perrito o cigüeñuela,R,0.5
