NOMBRE COMUN,STATUS,T-8
Pato colorado,R,33.0
Gaviota de Franklin,Mb,30.0
Triguero común,R,24.0
Playerito semipalmado,Mb,19.0
Santa Rosita,R,18.0
Gallinazo cabeza negra,R,15.0
Garza huaco,R,13.0
Garza grande,R,13.0
Polla de agua,R,12.0
Totorero,R,5.0
Pato gargantillo,R,4.0
"Huanchaco, Pecho colorado",R,4.0
Chorlo doble collar,R,4.0
Espiguero corbatón,Ml,4.0
Paloma cuculi,R,3.0
Cernícalo,R,3.0
Tortolita peruana,R,2.0
Gavilán oscuro acanalado,R,2.0
Playero manchado,Mb,2.0
Garza tamanquita,R,1.0
Saltapalito,R,1.0
Pata amarilla menor,Mb,1.0
Cucarachero,R,1.0
