NOMBRE COMUN,STATUS,T-5
Pato colorado,R,82.0
Ostrero común,R,54.0
Rayador,Mb,50.0
Polla de agua,R,48.0
"Cushuri, cormorán, cuervo de mar",R,42.0
Gaviota dominicana,Ml,39.0
Pato rana o taclón,R,20.0
Gaviota gris,S,19.0
"Gallareta andina, Huayno",R,15.0
Siete colores de la totora,R,9.0
Pato gargantillo,R,9.0
Gaviota peruana,Ml,8.0
Garza huaco,R,7.0
Santa Rosita,R,7.0
Paloma cuculi,R,6.0
Zambullidor grande,R,5.0
Garza azul,R,5.0
Gaviota capucho gris,R,5.0
"Tordo grande, tordo negro",Ml,4.0
Tordo amazónico cabeza amarilla,R,3.0
Chorlo doble collar,R,3.0
Garza tamanquita,R,3.0
Cucarachero,R,2.0
Yanavico,R,2.0
Gallinazo cabeza negra,R,2.0
Gallareta de frente amarilla,Acc,1.0
Totorero,R,1.0
Playero manchado,Mb,1.0
Triguero común,R,1.0
Amazilia costeña,R,1.0
"Turtupillín, putilla",R,1.0
Garza blanca chica,R,1.0
Gavilán oscuro acanalado,R,1.0
