NOMBRE COMUN,STATUS,T-4
Gaviota dominicana,Ml,1000.0
Pelícano marrón,Mb,478.0
Garza tamanquita,R,16.0
Madrugadora o rabiblanca,R,16.0
Pato gargantillo,R,12.0
Garza grande,R,12.0
Yanavico,R,12.0
Golondrina purpúrea,Mb,10.0
Águila pescadora,Mb,9.0
Garza bueyera,R,9.0
"Huanchaco, Pecho colorado",R,8.0
Gallareta frente roja,R,7.0
"Pato jerga, Pisacca",Ma,6.0
Zambullidor grande,R,5.0
Pato cabeza verde,H,5.0
Bandurria de Cara Negra,Acc,4.0
Chisco,R,4.0
Siete colores de la totora,R,3.0
Chorlo semipalmado,Mb,3.0
Garza cuca,Ma,2.0
Zambullidor plateado,Ma,2.0
Huaco de corona amarilla,R,2.0
Avoceta andina,Ma,2.0
Espatula rosada,Acc,1.0
Garza blanca chica,R,1.0
"Turtupillín, putilla",R,1.0
