NOMBRE COMUN,STATUS,T-2
"Cushuri, cormorán, cuervo de mar",R,251.0
Garza bueyera,R,211.0
Yanavico,R,85.0
Gallinazo cabeza negra,R,39.0
Santa Rosita,R,29.0
Gaviota capucho gris,R,21.0
Garza huaco,R,19.0
Pato colorado,R,16.0
Polla de agua,R,14.0
Paloma cuculi,R,10.0
Falaropo de Wilson,Mb,8.0
Totorero,R,5.0
"Gallareta andina, Huayno",R,5.0
Cucarachero,R,5.0
Triguero común,R,4.0
Zambullidor grande,R,4.0
Siete colores de la totora,R,4.0
Tordo amazónico cabeza amarilla,R,4.0
Playero manchado,Mb,4.0
Garza tamanquita,R,3.0
Gaviota dominicana,Ml,3.0
Zambullidor pico grueso,R,3.0
Pato gargantillo,R,2.0
Garza grande,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Huaco de corona amarilla,R,2.0
Gavilán oscuro acanalado,R,2.0
Gallineta común,R,2.0
Pato rana o taclón,R,2.0
"Turtupillín, putilla",R,1.0
Garza cuca,Ma,1.0
Garza azul,R,1.0
"Huanchaco, Pecho colorado",R,1.0
