NOMBRE COMUN,STATUS,T-2
Garza bueyera,R,257.0
Yanavico,R,101.0
"Cushuri, cormorán, cuervo de mar",R,80.0
Gallinazo cabeza negra,R,66.0
Gaviota dominicana,Ml,18.0
Santa Rosita,R,17.0
Gaviota capucho gris,R,16.0
Garza huaco,R,12.0
Polla de agua,R,11.0
Cucarachero,R,10.0
Paloma cuculi,R,9.0
Pato colorado,R,9.0
Playero manchado,Mb,5.0
"Tordo grande, tordo negro",Ml,5.0
Totorero,R,5.0
Zambullidor grande,R,4.0
Zambullidor pico grueso,R,4.0
"Gallareta andina, Huayno",R,4.0
Falaropo de Wilson,Mb,4.0
Garza grande,R,4.0
Siete colores de la totora,R,4.0
Garza blanca chica,R,3.0
Triguero común,R,3.0
Pato gargantillo,R,3.0
Garza azul,R,2.0
Chorlo doble collar,R,2.0
Gavilán oscuro acanalado,R,1.0
Garza cuca,Ma,1.0
"Huanchaco, Pecho colorado",R,1.0
Garza tamanquita,R,1.0
