NOMBRE COMUN,STATUS,T-4
"Cushuri, cormorán, cuervo de mar",R,268.0
Pata amarilla mayor,Mb,35.0
Gaviota capucho gris,R,20.0
Gaviota de Franklin,Mb,19.0
Paloma cuculi,R,14.0
Pato colorado,R,10.0
Gallinazo cabeza negra,R,10.0
Polla de agua,R,8.0
Pata amarilla menor,Mb,8.0
Pato rana o taclón,R,5.0
Pato gargantillo,R,5.0
Totorero,R,4.0
Perrito o cigüeñuela,R,4.0
"Tordo grande, tordo negro",Ml,3.0
"Paloma doméstica, paloma de castilla",R,3.0
Playero pico fino,Mb,3.0
Falaropo de Wilson,Mb,3.0
Playero manchado,Mb,2.0
"Gallareta andina, Huayno",R,2.0
Tirano tropical o pepite,R,1.0
Cernícalo,R,1.0
Garza blanca chica,R,1.0
"Turtupillín, putilla",R,1.0
Yanavico,R,1.0
