NOMBRE COMUN,STATUS,T-5
Tordo amazónico cabeza amarilla,R,6003.0
Rayador,Mb,401.0
"Cushuri, cormorán, cuervo de mar",R,55.0
Ostrero común,R,29.0
Pato gargantillo,R,29.0
Garza blanca chica,R,21.0
Polla de agua,R,16.0
Gaviota gris,S,15.0
Perrito o cigüeñuela,R,9.0
Pata amarilla mayor,Mb,8.0
Garza grande,R,7.0
Playero pico fino,Mb,6.0
Paloma cuculi,R,5.0
Pato colorado,R,5.0
Parihuana,Ma,4.0
Gallinazo cabeza negra,R,4.0
"Gallareta andina, Huayno",R,3.0
Pato rana o taclón,R,3.0
Zambullidor grande,R,3.0
Zambullidor pico grueso,R,3.0
Pata amarilla menor,Mb,2.0
Chorlo doble collar,R,2.0
Playero manchado,Mb,2.0
Zambullidor pimpollo,R,2.0
Gaviota peruana,Ml,2.0
Siete colores de la totora,R,2.0
Garza huaco,R,2.0
Totorero,R,1.0
Chisco,R,1.0
Madrugadora o rabiblanca,R,1.0
Gaviotín elegante,Mb,1.0
"Huanchaco, Pecho colorado",R,1.0
Zarapito trinador,Mb,1.0
Santa Rosita,R,1.0
Espatula rosada,Acc,1.0
