NOMBRE COMUN,STATUS,T-2
Gaviota de Franklin,Mb,6607.0
Gaviota dominicana,Ml,2254.0
Garza bueyera,R,1763.0
"Cushuri, cormorán, cuervo de mar",R,1268.0
Yanavico,R,1122.0
Gallinazo cabeza negra,R,544.0
Gaviota capucho gris,R,280.0
Santa Rosita,R,198.0
Pelícano marrón,Mb,177.0
Garza huaco,R,171.0
Polla de agua,R,140.0
Pato colorado,R,114.0
Paloma cuculi,R,110.0
Garza blanca chica,R,89.0
"Gaviota centroamericana, reidora",Mb,79.0
"Cushuri, cormorán, cuervo de mar",Ml,78.0
"Gallareta andina, Huayno",R,61.0
Zambullidor grande,R,59.0
Pato gargantillo,R,59.0
Siete colores de la totora,R,55.0
Garza grande,R,51.0
Cucarachero,R,48.0
Totorero,R,37.0
Águila pescadora,Mb,36.0
Garza tamanquita,R,35.0
Gaviota peruana,Ml,34.0
Triguero común,R,27.0
Zambullidor pico grueso,R,27.0
Playero manchado,Mb,24.0
Golondrina purpúrea,Mb,20.0
"Tordo grande, tordo negro",Ml,19.0
Garza azul,R,19.0
Pato rana o taclón,R,14.0
Tordo amazónico cabeza amarilla,R,13.0
Garza cuca,Ma,12.0
Falaropo de Wilson,Mb,12.0
Gallareta frente roja,R,10.0
Huaco de corona amarilla,R,9.0
Saltapalito,R,8.0
Gavilán oscuro acanalado,R,8.0
"Pato jerga, Pisacca",Ma,7.0
Madrugadora o rabiblanca,R,7.0
"Huanchaco, Pecho colorado",R,7.0
Playero pico fino,Mb,6.0
Zambullidor plateado,Ma,6.0
Cernícalo,R,5.0
Chisco,R,5.0
Bandurria de Cara Negra,Acc,5.0
Gallineta común,R,5.0
Perrito o cigüeñuela,R,4.0
"Turtupillín, putilla",R,3.0
Aguilucho grande,Ma,3.0
Pata amarilla mayor,Mb,2.0
Garcita leonada,R,2.0
Chorlo doble collar,R,2.0
Espatula rosada,Acc,2.0
Garza azul,Ml,2.0
Espiguero corbatón,Ml,1.0
Gallareta de frente amarilla,Acc,1.0
Gaviotin picudo,Acc,1.0
