NOMBRE COMUN,STATUS,T-2
Gaviota de Franklin,Mb,1404.0
"Cushuri, cormorán, cuervo de mar",R,235.0
Yanavico,R,83.0
Gallinazo cabeza negra,R,54.0
Garza huaco,R,22.0
Polla de agua,R,15.0
Garza blanca chica,R,13.0
Gaviota capucho gris,R,10.0
Paloma cuculi,R,10.0
Pato colorado,R,10.0
Pato gargantillo,R,9.0
Garza bueyera,R,8.0
"Tordo grande, tordo negro",Ml,6.0
Playero manchado,Mb,6.0
Siete colores de la totora,R,5.0
"Gallareta andina, Huayno",R,5.0
Triguero común,R,4.0
Cucarachero,R,4.0
Zambullidor grande,R,4.0
Totorero,R,4.0
Zambullidor pico grueso,R,3.0
"Huanchaco, Pecho colorado",R,2.0
Pata amarilla mayor,Mb,2.0
Gaviota dominicana,Ml,2.0
Garza grande,R,1.0
Gallineta común,R,1.0
Cernícalo,R,1.0
Gavilán oscuro acanalado,R,1.0
Garza tamanquita,R,1.0
Garcita leonada,R,1.0
Tordo amazónico cabeza amarilla,R,1.0
