NOMBRE COMUN,STATUS,T-5
Rayador,Mb,627.0
"Cushuri, cormorán, cuervo de mar",Ml,117.0
Ostrero común,R,39.0
Polla de agua,R,34.0
Garza blanca chica,R,34.0
Gaviota peruana,Ml,33.0
Garza azul,Ml,20.0
Pato rana o taclón,R,13.0
Gaviota dominicana,Ml,12.0
Santa Rosita,R,12.0
Pato gargantillo,R,8.0
Siete colores de la totora,R,7.0
"Gallareta andina, Huayno",R,6.0
Gaviota gris,S,4.0
Chorlo doble collar,R,4.0
"Turtupillín, putilla",R,4.0
Totorero,R,3.0
Zambullidor grande,R,3.0
Amazilia costeña,R,2.0
Pato colorado,R,2.0
Zambullidor pimpollo,R,2.0
Tordo amazónico cabeza amarilla,R,2.0
Cucarachero,R,1.0
"Huanchaco, Pecho colorado",R,1.0
Gavilán oscuro acanalado,R,1.0
