NOMBRE COMUN,STATUS,T-2
Yanavico,R,390.0
"Cushuri, cormorán, cuervo de mar",R,101.0
Gallinazo cabeza negra,R,81.0
Santa Rosita,R,48.0
Gaviota capucho gris,R,41.0
Gaviota peruana,Ml,25.0
Garza huaco,R,20.0
Polla de agua,R,17.0
Garza bueyera,R,12.0
Pato colorado,R,12.0
Totorero,R,11.0
Garza grande,R,10.0
Paloma cuculi,R,9.0
Zambullidor grande,R,8.0
"Gallareta andina, Huayno",R,6.0
Cucarachero,R,4.0
Garza azul,R,3.0
Cernícalo,R,3.0
Siete colores de la totora,R,2.0
Zambullidor pico grueso,R,1.0
Tordo amazónico cabeza amarilla,R,1.0
Garza cuca,Ma,1.0
Garcita leonada,R,1.0
Garza blanca chica,R,1.0
Huaco de corona amarilla,R,1.0
