NOMBRE COMUN,STATUS,T-6
Piquero común,Ml,1095.0
Pelícano peruano,Ml,159.0
Gaviota de Franklin,Mb,30.0
Guanay,Ml,20.0
Zarapito trinador,Mb,3.0
Chorlo doble collar,R,2.0
Ostrero común,R,2.0
Huaco de corona amarilla,R,1.0
