NOMBRE COMUN,STATUS,T-7
Gallinazo cabeza negra,R,57.0
Paloma cuculi,R,48.0
"Cushuri, cormorán, cuervo de mar",R,27.0
"Huanchaco, Pecho colorado",R,20.0
Chorlo doble collar,R,14.0
Santa Rosita,R,13.0
Polla de agua,R,12.0
Yanavico,R,7.0
Totorero,R,5.0
Garza blanca chica,R,5.0
Gaviota dominicana,Ml,4.0
Pato colorado,R,4.0
"Tordo grande, tordo negro",Ml,3.0
Lechuza de los arenales,R,3.0
"Turtupillín, putilla",R,3.0
Tirano tropical o pepite,R,2.0
Chisco,R,2.0
Gallineta común,R,2.0
Cucarachero,R,1.0
Amazilia costeña,R,1.0
Gavilán oscuro acanalado,R,1.0
