NOMBRE COMUN,STATUS,T-2
Gaviota de Franklin,Mb,1501.0
"Cushuri, cormorán, cuervo de mar",R,225.0
Garza bueyera,R,126.0
Gallinazo cabeza negra,R,65.0
Yanavico,R,37.0
Gaviota capucho gris,R,15.0
Garza huaco,R,15.0
Paloma cuculi,R,11.0
Santa Rosita,R,9.0
"Gallareta andina, Huayno",R,8.0
Pato colorado,R,7.0
Zambullidor grande,R,5.0
Polla de agua,R,3.0
Zambullidor pico grueso,R,3.0
Huaco de corona amarilla,R,2.0
Playero manchado,Mb,2.0
Garza tamanquita,R,2.0
Cucarachero,R,2.0
Garza grande,R,2.0
Siete colores de la totora,R,1.0
Pato rana o taclón,R,1.0
