NOMBRE COMUN,STATUS,T-8
Gaviota dominicana,Ml,1084.0
Gaviota de capucho café,S,540.0
Pelícano marrón,Mb,177.0
Garza huaco,R,124.0
Yanavico,R,90.0
Águila pescadora,Mb,66.0
Espatula rosada,Acc,44.0
Golondrina purpúrea,Mb,34.0
Chorlo semipalmado,Mb,29.0
"Cushuri, cormorán, cuervo de mar",R,25.0
Bandurria de Cara Negra,Acc,15.0
Chorlo de las rompientes,Mb,13.0
Pato gargantillo,R,12.0
Aguja de mar,Mb,9.0
Gallareta frente roja,R,9.0
Gaviotín peruano,Ml,9.0
Madrugadora o rabiblanca,R,8.0
"Gaviota centroamericana, reidora",Mb,7.0
Garza tamanquita,R,7.0
Cotorra de wagler,Ml,7.0
Gaviotin picudo,Acc,6.0
Garza blanca chica,R,5.0
Playero Combatiente,H,4.0
"Turtupillín, putilla",R,3.0
Siete colores de la totora,R,3.0
Pata amarilla menor,Mb,3.0
Garza grande,R,3.0
Falaropo de Wilson,Mb,2.0
Gorrion europeo,R,2.0
Zambullidor grande,R,1.0
Garza cuca,Ma,1.0
Dormilona cabeza oscura,Ml,1.0
Aguilucho grande,Ma,1.0
Cascabelita común,Ml,1.0
Gallareta de frente amarilla,Acc,1.0
Vuelvepiedras,Mb,1.0
