NOMBRE COMUN,STATUS,T-3
Gaviota de Franklin,Mb,1135.0
"Cushuri, cormorán, cuervo de mar",R,313.0
Gaviota capucho gris,R,170.0
Gallinazo cabeza negra,R,97.0
Garza bueyera,R,33.0
Garza huaco,R,21.0
Pato gargantillo,R,13.0
Huaco de corona amarilla,R,10.0
Playero manchado,Mb,9.0
Pato colorado,R,8.0
Santa Rosita,R,7.0
Paloma cuculi,R,4.0
Totorero,R,4.0
Pato rana o taclón,R,3.0
Garza grande,R,3.0
Siete colores de la totora,R,2.0
Zambullidor pimpollo,R,2.0
Chorlo doble collar,R,2.0
Espatula rosada,Acc,1.0
