NOMBRE COMUN,STATUS,T-3
Gaviota de Franklin,Mb,1425.0
"Cushuri, cormorán, cuervo de mar",R,554.0
Gaviota capucho gris,R,539.0
Gallinazo cabeza negra,R,517.0
Águila pescadora,Mb,96.0
Pato colorado,R,90.0
Pelícano marrón,Mb,84.0
Pato gargantillo,R,70.0
Polla de agua,R,69.0
Perrito o cigüeñuela,R,56.0
Garza huaco,R,47.0
Chorlo doble collar,R,45.0
"Cushuri, cormorán, cuervo de mar",Ml,40.0
Aguja de mar,Mb,37.0
Garza bueyera,R,33.0
Zarapito trinador,Mb,32.0
"Gaviota centroamericana, reidora",Mb,28.0
Garza blanca chica,R,27.0
Golondrina purpúrea,Mb,26.0
Garza grande,R,26.0
Santa Rosita,R,16.0
Playero manchado,Mb,14.0
Paloma cuculi,R,13.0
Huaco de corona amarilla,R,13.0
Totorero,R,13.0
Falaropo de Wilson,Mb,13.0
Yanavico,R,12.0
Gavilán oscuro acanalado,R,8.0
Chorlo semipalmado,Mb,8.0
Garza cuca,Ma,6.0
Pato rana o taclón,R,6.0
Pata amarilla mayor,Mb,6.0
Madrugadora o rabiblanca,R,5.0
Cucarachero,R,4.0
Zambullidor pimpollo,R,4.0
Garza tamanquita,R,4.0
"Tordo grande, tordo negro",Ml,4.0
Gaviota peruana,Ml,4.0
Siete colores de la totora,R,3.0
Gaviota gris,S,3.0
Gallareta frente roja,R,2.0
Cernícalo,R,2.0
"Pato jerga, Pisacca",Ma,2.0
Pata amarilla menor,Mb,2.0
Tirano tropical o pepite,R,2.0
Playero pico fino,Mb,1.0
Espatula rosada,Acc,1.0
Chisco,R,1.0
Garcita leonada,R,1.0
Gaviotín peruano,Ml,1.0
Gorrion europeo,R,1.0
"Turtupillín, putilla",R,1.0
