NOMBRE COMUN,STATUS,T-2
Gaviota dominicana,Ml,2227.0
Pelícano marrón,Mb,177.0
"Gaviota centroamericana, reidora",Mb,79.0
Águila pescadora,Mb,36.0
Golondrina purpúrea,Mb,20.0
Garza tamanquita,R,18.0
Garza grande,R,14.0
Pato gargantillo,R,12.0
Gallareta frente roja,R,10.0
"Pato jerga, Pisacca",Ma,7.0
Madrugadora o rabiblanca,R,7.0
Saltapalito,R,6.0
Zambullidor plateado,Ma,6.0
Yanavico,R,6.0
Garza cuca,Ma,5.0
Chisco,R,5.0
Garza bueyera,R,4.0
Bandurria de Cara Negra,Acc,4.0
Garza blanca chica,R,3.0
Siete colores de la totora,R,3.0
Aguilucho grande,Ma,3.0
Zambullidor grande,R,2.0
"Turtupillín, putilla",R,2.0
Gallareta de frente amarilla,Acc,1.0
Tordo amazónico cabeza amarilla,R,1.0
Gaviotin picudo,Acc,1.0
Espiguero corbatón,Ml,1.0
