NOMBRE COMUN,STATUS,T-4
Gallinazo cabeza negra,R,26.0
Gaviota capucho gris,R,21.0
Polla de agua,R,19.0
"Paloma doméstica, paloma de castilla",R,17.0
Pata amarilla mayor,Mb,17.0
Pato gargantillo,R,17.0
Paloma cuculi,R,15.0
"Cushuri, cormorán, cuervo de mar",R,15.0
Pato colorado,R,14.0
Pata amarilla menor,Mb,13.0
Santa Rosita,R,8.0
Gaviota peruana,Ml,3.0
Garza grande,R,3.0
Zambullidor pimpollo,R,3.0
Cernícalo,R,3.0
"Gallareta andina, Huayno",R,2.0
Gavilán oscuro acanalado,R,2.0
Tordo amazónico cabeza amarilla,R,2.0
Guardacaballo,R,2.0
Perrito o cigüeñuela,R,2.0
Águila pescadora,Mb,1.0
Garza bueyera,R,1.0
Gorrion europeo,R,1.0
Yanavico,R,1.0
Totorero,R,1.0
Saltapalito,R,1.0
Zambullidor pico grueso,R,1.0
"Tordo grande, tordo negro",Ml,1.0
Tirano tropical o pepite,R,1.0
Chisco,R,1.0
Garza huaco,R,1.0
Garcita leonada,R,1.0
