NOMBRE COMUN,STATUS,T-2
Garza bueyera,R,660.0
Yanavico,R,205.0
"Cushuri, cormorán, cuervo de mar",R,164.0
Gaviota capucho gris,R,57.0
Gallinazo cabeza negra,R,36.0
Santa Rosita,R,31.0
Garza huaco,R,17.0
Paloma cuculi,R,12.0
Zambullidor grande,R,12.0
Pato colorado,R,9.0
Polla de agua,R,8.0
Gaviota peruana,Ml,5.0
Garza azul,R,5.0
Cucarachero,R,4.0
"Gallareta andina, Huayno",R,3.0
Garza grande,R,3.0
Pato rana o taclón,R,3.0
Zambullidor pico grueso,R,2.0
Huaco de corona amarilla,R,2.0
Garza blanca chica,R,2.0
Cernícalo,R,1.0
Espatula rosada,Acc,1.0
Garza cuca,Ma,1.0
Garza tamanquita,R,1.0
Totorero,R,1.0
Gavilán oscuro acanalado,R,1.0
Siete colores de la totora,R,1.0
"Huanchaco, Pecho colorado",R,1.0
