NOMBRE COMUN,STATUS,T-7
Gallinazo cabeza negra,R,43.0
Paloma cuculi,R,24.0
"Cushuri, cormorán, cuervo de mar",R,15.0
Chorlo doble collar,R,10.0
Gaviota dominicana,Ml,9.0
Playero pico fino,Mb,9.0
"Tordo grande, tordo negro",Ml,7.0
Lechuza de los arenales,R,6.0
Falaropo de Wilson,Mb,5.0
Pata amarilla menor,Mb,4.0
Cucarachero,R,2.0
Pata amarilla mayor,Mb,2.0
Garza azul,R,2.0
"Huanchaco, Pecho colorado",R,2.0
Madrugadora o rabiblanca,R,2.0
Playero manchado,Mb,2.0
Perrito o cigüeñuela,R,1.0
"Turtupillín, putilla",R,1.0
Saltapalito,R,1.0
Gavilán oscuro acanalado,R,1.0
Totorero,R,1.0
Pato colorado,R,1.0
Chisco,R,1.0
