NOMBRE COMUN,STATUS,T-7
Gaviota de Franklin,Mb,2582.0
Gallinazo cabeza negra,R,364.0
Paloma cuculi,R,270.0
"Cushuri, cormorán, cuervo de mar",R,185.0
Piquero común,Ml,160.0
Tordo amazónico cabeza amarilla,R,117.0
Santa Rosita,R,95.0
"Tordo grande, tordo negro",Ml,86.0
"Huanchaco, Pecho colorado",R,75.0
Chorlo doble collar,R,75.0
Playero pico fino,Mb,63.0
Pato colorado,R,54.0
Lechuza de los arenales,R,48.0
Polla de agua,R,46.0
Chisco,R,39.0
"Turtupillín, putilla",R,38.0
Gaviota dominicana,Ml,38.0
Gaviota capucho gris,R,29.0
Madrugadora o rabiblanca,R,29.0
Playero manchado,Mb,24.0
Totorero,R,24.0
Yanavico,R,21.0
Gavilán oscuro acanalado,R,21.0
Triguero común,R,21.0
Garza blanca chica,R,19.0
"Violinista celeste, Luisa",Ml,18.0
Chorlo semipalmado,Mb,18.0
Cernícalo,R,17.0
Perrito o cigüeñuela,R,16.5
Garza grande,R,14.0
Pato gargantillo,R,13.0
Cucarachero,R,10.0
Chuita,Ml,10.0
"Gallareta andina, Huayno",R,9.0
"Paloma doméstica, paloma de castilla",R,9.0
Garza bueyera,R,9.0
Pata amarilla mayor,Mb,9.0
Pata amarilla menor,Mb,8.0
Playerito semipalmado,Mb,8.0
Garza azul,R,7.0
Siete colores de la totora,R,7.0
"Cushuri, cormorán, cuervo de mar",Ml,6.0
Falaropo de Wilson,Mb,5.0
Espiguero corbatón,Ml,5.0
Tirano tropical o pepite,R,4.0
Garza azul,Ml,3.0
Saltapalito,R,3.0
Guardacaballo,R,3.0
Amazilia costeña,R,3.0
Gallineta común,R,2.0
Huerequeque,R,2.0
Garza tamanquita,R,2.0
Bandurria de Cara Negra,Acc,2.0
Dormilona cabeza oscura,Ml,2.0
Pato rana o taclón,R,1.0
Gorrion europeo,R,1.0
Garza cuca,Ma,1.0
Mielerito gris,R,1.0
Huaco de corona amarilla,R,1.0
Pelícano marrón,Mb,1.0
Zambullidor pico grueso,R,1.0
Gaviota peruana,Ml,1.0
Aguilucho grande,Ma,1.0
