NOMBRE COMUN,STATUS,T-8
Yanavico,R,47.0
Polla de agua,R,34.0
Santa Rosita,R,23.0
Triguero común,R,15.0
Pato colorado,R,13.0
Gallineta común,R,8.0
Totorero,R,8.0
Garza huaco,R,8.0
Cucarachero,R,4.0
Chorlo doble collar,R,4.0
Garza blanca chica,R,4.0
Gallinazo cabeza negra,R,4.0
Chisco,R,3.0
Pato gargantillo,R,3.0
Paloma cuculi,R,2.0
"Violinista celeste, Luisa",Ml,2.0
Pata amarilla menor,Mb,2.0
Playerito semipalmado,Mb,2.0
Espiguero corbatón,Ml,2.0
"Cushuri, cormorán, cuervo de mar",Ml,1.0
Gavilán oscuro acanalado,R,1.0
Garza grande,R,1.0
Garza tamanquita,R,1.0
