NOMBRE COMUN,STATUS,T-5
Gaviota de Franklin,Mb,3702.0
Rayador,Mb,691.0
"Cushuri, cormorán, cuervo de mar",R,232.0
Gaviota peruana,Ml,58.0
Pato colorado,R,55.0
Pato gargantillo,R,31.0
Ostrero común,R,28.0
Pato rana o taclón,R,15.0
Gallinazo cabeza negra,R,10.0
Garza blanca chica,R,9.0
Santa Rosita,R,8.0
Polla de agua,R,8.0
Garza azul,R,6.0
Playero pata larga,Mb,6.0
Perrito o cigüeñuela,R,6.0
Zambullidor grande,R,5.0
Amazilia costeña,R,5.0
Playero manchado,Mb,4.0
Zambullidor pimpollo,R,4.0
"Turtupillín, putilla",R,3.0
Siete colores de la totora,R,3.0
Vuelvepiedras,Mb,3.0
Garza grande,R,3.0
"Gallareta andina, Huayno",R,3.0
Gaviota dominicana,Ml,3.0
"Tordo grande, tordo negro",Ml,3.0
Paloma cuculi,R,3.0
Cucarachero,R,2.0
Garza huaco,R,2.0
Chisco,R,2.0
Tordo amazónico cabeza amarilla,R,2.0
Pata amarilla mayor,Mb,2.0
Gaviota capucho gris,R,2.0
Huaco de corona amarilla,R,1.0
Pata amarilla menor,Mb,1.0
Parihuana,Ma,1.0
Triguero común,R,1.0
Guardacaballo,R,1.0
