NOMBRE COMUN,STATUS,T-5
Gaviota peruana,Ml,324.0
Rayador,Mb,248.0
Gaviota dominicana,Ml,235.0
"Cushuri, cormorán, cuervo de mar",R,117.0
Garza blanca chica,R,66.0
Pato colorado,R,63.0
Gaviota gris,S,48.0
Polla de agua,R,41.0
Santa Rosita,R,35.0
Ostrero común,R,33.0
Gallinazo cabeza negra,R,23.0
Garza azul,R,21.0
Zarcillo,Ml,11.0
"Gallareta andina, Huayno",R,11.0
Pato rana o taclón,R,8.0
Zambullidor grande,R,6.0
Chorlo doble collar,R,6.0
Gaviota capucho gris,R,6.0
Garza huaco,R,5.0
Tordo amazónico cabeza amarilla,R,5.0
Yanavico,R,4.0
Zarapito trinador,Mb,3.0
Tirano tropical o pepite,R,2.0
Zambullidor pimpollo,R,2.0
"Turtupillín, putilla",R,2.0
Zambullidor pico grueso,R,2.0
Paloma cuculi,R,1.0
Siete colores de la totora,R,1.0
