NOMBRE COMUN,STATUS,T-5
"Cushuri, cormorán, cuervo de mar",R,176.0
Falaropo de Wilson,Mb,86.0
Pato colorado,R,55.0
Gaviota capucho gris,R,48.0
Polla de agua,R,35.0
Ostrero común,R,28.0
Gaviota dominicana,Ml,26.0
Pato rana o taclón,R,18.0
Zarapito trinador,Mb,14.0
Gaviota peruana,Ml,11.0
Gallinazo cabeza negra,R,11.0
Santa Rosita,R,10.0
"Gallareta andina, Huayno",R,8.0
Zambullidor grande,R,6.0
Siete colores de la totora,R,5.0
Chorlo doble collar,R,4.0
Playero pico fino,Mb,3.0
Playero manchado,Mb,3.0
Zambullidor pimpollo,R,3.0
Tordo amazónico cabeza amarilla,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Pato gargantillo,R,1.0
Garza huaco,R,1.0
Garza grande,R,1.0
Cucarachero,R,1.0
Paloma cuculi,R,1.0
Yanavico,R,1.0
Garza blanca chica,R,1.0
Garza azul,R,1.0
