NOMBRE COMUN,STATUS,T-7
Gallinazo cabeza negra,R,59.0
Paloma cuculi,R,11.0
Gaviota dominicana,Ml,11.0
Tordo amazónico cabeza amarilla,R,9.0
"Huanchaco, Pecho colorado",R,8.0
Playero pico fino,Mb,8.0
"Tordo grande, tordo negro",Ml,7.0
Chorlo doble collar,R,6.0
Santa Rosita,R,6.0
Playero manchado,Mb,6.0
Chisco,R,5.0
Totorero,R,4.0
Lechuza de los arenales,R,4.0
"Turtupillín, putilla",R,4.0
Cernícalo,R,3.0
Pato colorado,R,3.0
"Cushuri, cormorán, cuervo de mar",R,3.0
Triguero común,R,3.0
Madrugadora o rabiblanca,R,1.0
Gorrion europeo,R,1.0
Pata amarilla menor,Mb,1.0
Gavilán oscuro acanalado,R,1.0
Garza azul,R,1.0
Pato gargantillo,R,1.0
Siete colores de la totora,R,1.0
