NOMBRE COMUN,STATUS,T-9
Gaviota de Franklin,Mb,905.0
Gallinazo cabeza negra,R,222.0
Paloma cuculi,R,65.0
Tortolita peruana,R,62.0
Gorrion europeo,R,36.0
Cucarachero,R,6.0
Amazilia costeña,R,5.0
Guardacaballo,R,5.0
"Turtupillín, putilla",R,5.0
Saltapalito,R,4.0
Polla de agua,R,4.0
Chisco,R,4.0
Santa Rosita,R,3.0
"Violinista celeste, Luisa",Ml,3.0
"Paloma doméstica, paloma de castilla",R,3.0
Cernícalo,R,2.0
Chorlo doble collar,R,2.0
Tordo amazónico cabeza amarilla,R,2.0
Tordo parásito,R,1.0
Huerequeque,R,1.0
