NOMBRE COMUN,STATUS,T-1
Gaviota de Franklin,Mb,3914.0
Gaviota capucho gris,R,576.0
"Cushuri, cormorán, cuervo de mar",R,260.0
Pato gargantillo,R,211.0
Polla de agua,R,180.0
Pato colorado,R,176.0
Garza blanca chica,R,116.0
Santa Rosita,R,112.0
Gallinazo cabeza negra,R,106.0
"Paloma doméstica, paloma de castilla",R,100.0
Perrito o cigüeñuela,R,84.5
Paloma cuculi,R,82.0
"Gallareta andina, Huayno",R,74.0
Garza bueyera,R,74.0
Garza huaco,R,51.0
Garza grande,R,46.0
Saltapalito,R,45.0
Yanavico,R,44.0
"Gaviota centroamericana, reidora",Mb,32.0
Totorero,R,30.0
Avoceta andina,Ma,29.0
Garza tamanquita,R,29.0
Espatula rosada,Acc,20.0
Águila pescadora,Mb,20.0
"Tordo grande, tordo negro",Ml,19.0
Gorrion europeo,R,19.0
Pato rana o taclón,R,18.0
Madrugadora o rabiblanca,R,18.0
Golondrina purpúrea,Mb,18.0
Zambullidor pico grueso,R,16.0
"Pato jerga, Pisacca",Ma,16.0
Cucarachero,R,14.0
Tordo amazónico cabeza amarilla,R,13.0
Playero manchado,Mb,12.0
Gaviota peruana,Ml,10.0
Pata amarilla menor,Mb,10.0
Siete colores de la totora,R,10.0
Gallareta de frente amarilla,Acc,9.0
Gallareta frente roja,R,8.0
Tortolita peruana,R,7.0
Espiguero corbatón,Ml,6.0
Gallineta común,R,5.0
Zambullidor grande,R,5.0
Pelícano marrón,Mb,5.0
Chisco,R,4.0
"Turtupillín, putilla",R,4.0
Garza cuca,Ma,4.0
Gaviota dominicana,Ml,3.0
Garza azul,R,3.0
Gavilán oscuro acanalado,R,3.0
Zambullidor pimpollo,R,3.0
Triguero común,R,2.0
"Cushuri, cormorán, cuervo de mar",Ml,2.0
Cascabelita común,Ml,2.0
Huaco de corona amarilla,R,2.0
Chorlo doble collar,R,1.0
Pato cabeza verde,H,1.0
Garcita leonada,R,1.0
