NOMBRE COMUN,STATUS,T-5
Gaviota gris,S,97.0
Polla de agua,R,46.0
Ostrero común,R,45.0
Gaviota peruana,Ml,40.0
"Cushuri, cormorán, cuervo de mar",R,35.0
Zarapito trinador,Mb,28.0
Pato colorado,R,24.0
Gaviota dominicana,Ml,23.0
Pato rana o taclón,R,21.0
Pato gargantillo,R,11.0
Garza blanca chica,R,9.0
Playero manchado,Mb,9.0
"Gallareta andina, Huayno",R,8.0
Garza azul,R,5.0
Paloma cuculi,R,4.0
"Tordo grande, tordo negro",Ml,4.0
Zambullidor pimpollo,R,3.0
Playero pico fino,Mb,3.0
Chisco,R,3.0
Perrito o cigüeñuela,R,2.0
Zambullidor pico grueso,R,2.0
Gallinazo cabeza negra,R,2.0
Triguero común,R,2.0
Garza grande,R,2.0
Chorlo doble collar,R,1.0
Totorero,R,1.0
Huaco de corona amarilla,R,1.0
Pelícano peruano,Ml,1.0
Yanavico,R,1.0
Siete colores de la totora,R,1.0
