NOMBRE COMUN,STATUS,T-5
Gaviota de Franklin,Mb,7902.0
Tordo amazónico cabeza amarilla,R,6025.0
Rayador,Mb,2409.0
"Cushuri, cormorán, cuervo de mar",R,950.0
Gaviota peruana,Ml,545.0
Gaviota dominicana,Ml,378.0
Pato colorado,R,368.0
Ostrero común,R,300.0
Polla de agua,R,300.0
Gaviota gris,S,183.0
Pato gargantillo,R,179.0
Pelícano peruano,Ml,164.0
Gaviota capucho gris,R,160.0
Garza blanca chica,R,145.0
Pato rana o taclón,R,129.0
"Cushuri, cormorán, cuervo de mar",Ml,117.0
Zarapito trinador,Mb,117.0
Gallinazo cabeza negra,R,92.0
Santa Rosita,R,91.0
Yanavico,R,88.0
Falaropo de Wilson,Mb,86.0
"Gallareta andina, Huayno",R,74.0
Paloma cuculi,R,58.0
Ostrero negro,R,50.0
Siete colores de la totora,R,45.0
Garza azul,R,43.0
Perrito o cigüeñuela,R,40.0
Playero manchado,Mb,38.0
Zambullidor grande,R,34.0
"Tordo grande, tordo negro",Ml,33.0
Chorlo doble collar,R,31.0
Garza huaco,R,26.0
Águila pescadora,Mb,24.0
Zambullidor pimpollo,R,24.0
Chorlo semipalmado,Mb,20.0
Garza azul,Ml,20.0
Garza grande,R,19.0
Pata amarilla menor,Mb,19.0
Playerito semipalmado,Mb,19.0
Chisco,R,19.0
Parihuana,Ma,17.0
Playero pico fino,Mb,17.0
Triguero común,R,17.0
Totorero,R,16.0
"Turtupillín, putilla",R,16.0
Amazilia costeña,R,11.0
Zarcillo,Ml,11.0
Pata amarilla mayor,Mb,10.0
Gallareta frente roja,R,10.0
Huaco de corona amarilla,R,9.0
Zambullidor pico grueso,R,8.0
Cucarachero,R,8.0
Lechuza de los arenales,R,7.0
Avoceta andina,Ma,7.0
Pelícano marrón,Mb,7.0
Garza tamanquita,R,6.0
Gavilán oscuro acanalado,R,6.0
Golondrina migratoria,Mb,6.0
Playero pata larga,Mb,6.0
"Pato jerga, Pisacca",Ma,5.0
Garza cuca,Ma,5.0
Huerequeque,R,4.0
Madrugadora o rabiblanca,R,4.0
Pato cabeza verde,H,4.0
"Huanchaco, Pecho colorado",R,4.0
Espiguero corbatón,Ml,3.0
Mielerito gris,R,3.0
Vuelvepiedras,Mb,3.0
Espatula rosada,Acc,3.0
Playero Combatiente,H,3.0
Saltapalito,R,2.0
Gallareta de frente amarilla,Acc,2.0
Zambullidor plateado,Ma,2.0
Tirano tropical o pepite,R,2.0
Bandurria de Cara Negra,Acc,2.0
Cernícalo,R,2.0
Garza bueyera,R,1.0
Gaviotín elegante,Mb,1.0
Guardacaballo,R,1.0
