NOMBRE COMUN,STATUS,T-8
Garza blanca chica,R,42.0
Santa Rosita,R,22.0
Pato colorado,R,9.0
Pata amarilla mayor,Mb,9.0
"Cushuri, cormorán, cuervo de mar",R,6.0
Pato gargantillo,R,6.0
Polla de agua,R,4.0
Triguero común,R,4.0
Madrugadora o rabiblanca,R,4.0
Paloma cuculi,R,3.0
Garza huaco,R,3.0
Playero manchado,Mb,3.0
Pata amarilla menor,Mb,3.0
"Huanchaco, Pecho colorado",R,3.0
Huaco de corona amarilla,R,3.0
Garza grande,R,2.0
Yanavico,R,2.0
Chorlo doble collar,R,2.0
Gallineta común,R,2.0
Garza azul,R,2.0
Gallinazo cabeza negra,R,2.0
Cucarachero,R,2.0
Espiguero corbatón,Ml,1.0
Gavilán oscuro acanalado,R,1.0
Totorero,R,1.0
Garza tamanquita,R,1.0
