NOMBRE COMUN,STATUS,T-8
Polla de agua,R,59.0
Pato colorado,R,28.0
Totorero,R,14.0
Triguero común,R,13.0
Santa Rosita,R,12.0
Perrito o cigüeñuela,R,8.5
Cucarachero,R,8.0
Pata amarilla menor,Mb,8.0
Yanavico,R,7.0
Garza huaco,R,6.0
Pato gargantillo,R,6.0
Playerito semipalmado,Mb,6.0
Siete colores de la totora,R,5.0
Gallinazo cabeza negra,R,4.0
Chorlo doble collar,R,4.0
Garza grande,R,4.0
Paloma cuculi,R,3.0
Garza bueyera,R,2.0
Gavilán oscuro acanalado,R,2.0
Garza tamanquita,R,2.0
Espiguero corbatón,Ml,1.0
Gallineta común,R,1.0
