NOMBRE COMUN,STATUS,T-1
Pato gargantillo,R,28.0
Polla de agua,R,28.0
Santa Rosita,R,15.0
Perrito o cigüeñuela,R,14.0
Pato colorado,R,13.0
"Paloma doméstica, paloma de castilla",R,13.0
Paloma cuculi,R,13.0
Gallinazo cabeza negra,R,9.0
Saltapalito,R,4.0
"Cushuri, cormorán, cuervo de mar",R,3.0
"Tordo grande, tordo negro",Ml,3.0
Garza grande,R,2.0
Garza tamanquita,R,2.0
Gallineta común,R,1.0
Garza huaco,R,1.0
Garza blanca chica,R,1.0
Pato rana o taclón,R,1.0
Cucarachero,R,1.0
Playero manchado,Mb,1.0
