NOMBRE COMUN,STATUS,T-1
Gaviota de Franklin,Mb,1200.0
Gaviota capucho gris,R,50.0
Garza blanca chica,R,37.0
Pato gargantillo,R,32.0
Pato colorado,R,20.0
Garza grande,R,14.0
Santa Rosita,R,13.0
Polla de agua,R,9.0
Saltapalito,R,8.0
Perrito o cigüeñuela,R,7.0
Tordo amazónico cabeza amarilla,R,7.0
"Tordo grande, tordo negro",Ml,6.0
"Gallareta andina, Huayno",R,6.0
Gorrion europeo,R,5.0
Tortolita peruana,R,4.0
Zambullidor pico grueso,R,2.0
Gallineta común,R,2.0
"Cushuri, cormorán, cuervo de mar",R,2.0
Garza tamanquita,R,2.0
Playero manchado,Mb,2.0
Pata amarilla menor,Mb,2.0
Cucarachero,R,2.0
Totorero,R,2.0
Pato rana o taclón,R,2.0
Gallinazo cabeza negra,R,1.0
Gavilán oscuro acanalado,R,1.0
Garza huaco,R,1.0
Garza azul,R,1.0
