NOMBRE COMUN,STATUS,T-4
"Cushuri, cormorán, cuervo de mar",R,86.0
Gaviota capucho gris,R,38.0
Paloma cuculi,R,18.0
Santa Rosita,R,17.0
Pato colorado,R,10.0
Falaropo de Wilson,Mb,10.0
Garza huaco,R,9.0
Pato gargantillo,R,8.0
Polla de agua,R,7.0
Gallinazo cabeza negra,R,6.0
Perrito o cigüeñuela,R,5.0
Zambullidor pico grueso,R,4.0
Pato rana o taclón,R,4.0
Zambullidor grande,R,4.0
"Gallareta andina, Huayno",R,4.0
Chorlo doble collar,R,3.0
Gaviota peruana,Ml,3.0
Totorero,R,3.0
Cernícalo,R,3.0
Zambullidor pimpollo,R,2.0
Garza grande,R,2.0
Garza tamanquita,R,2.0
Siete colores de la totora,R,2.0
Tordo parásito,R,2.0
Gallineta común,R,2.0
Cucarachero,R,2.0
Garcita leonada,R,1.0
Gavilán oscuro acanalado,R,1.0
Garza azul,R,1.0
