NOMBRE COMUN,STATUS,T-7
Gaviota de Franklin,Mb,82.0
Gallinazo cabeza negra,R,46.0
Paloma cuculi,R,19.0
Santa Rosita,R,16.0
Tordo amazónico cabeza amarilla,R,14.0
"Cushuri, cormorán, cuervo de mar",R,10.0
Playero pico fino,Mb,7.0
"Huanchaco, Pecho colorado",R,6.0
Madrugadora o rabiblanca,R,5.0
Lechuza de los arenales,R,5.0
Chisco,R,4.0
"Turtupillín, putilla",R,4.0
"Tordo grande, tordo negro",Ml,4.0
Playerito semipalmado,Mb,4.0
Playero manchado,Mb,4.0
Cucarachero,R,3.0
Triguero común,R,3.0
Espiguero corbatón,Ml,3.0
Gavilán oscuro acanalado,R,2.0
Siete colores de la totora,R,2.0
Chorlo doble collar,R,2.0
Tirano tropical o pepite,R,1.0
Cernícalo,R,1.0
