NOMBRE COMUN,STATUS,T-1
Gaviota capucho gris,R,133.0
Polla de agua,R,14.0
"Paloma doméstica, paloma de castilla",R,12.0
Santa Rosita,R,9.0
Pato colorado,R,8.0
Gorrion europeo,R,8.0
"Gallareta andina, Huayno",R,8.0
Saltapalito,R,7.0
Paloma cuculi,R,6.0
Pato gargantillo,R,6.0
Pato rana o taclón,R,4.0
Gaviota peruana,Ml,4.0
Gallinazo cabeza negra,R,4.0
Garza blanca chica,R,2.0
Cucarachero,R,2.0
Garza grande,R,2.0
Garza tamanquita,R,2.0
"Cushuri, cormorán, cuervo de mar",R,2.0
Garza huaco,R,2.0
Perrito o cigüeñuela,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Siete colores de la totora,R,2.0
Zambullidor pico grueso,R,2.0
Totorero,R,2.0
