NOMBRE COMUN,STATUS,T-8
Gaviota dominicana,Ml,1084.0
Gaviota de capucho café,S,540.0
Polla de agua,R,307.0
Gallinazo cabeza negra,R,252.0
Pato colorado,R,245.0
Santa Rosita,R,244.0
Garza huaco,R,199.0
Pelícano marrón,Mb,177.0
Yanavico,R,153.0
Triguero común,R,151.0
Chorlo doble collar,R,104.0
Pato gargantillo,R,95.0
Totorero,R,85.0
Playero manchado,Mb,79.0
Águila pescadora,Mb,66.0
Paloma cuculi,R,63.0
Cucarachero,R,55.0
Garza blanca chica,R,53.0
Playerito semipalmado,Mb,47.0
Espatula rosada,Acc,44.0
Golondrina purpúrea,Mb,34.0
Pata amarilla menor,Mb,33.0
"Cushuri, cormorán, cuervo de mar",R,31.0
Garza grande,R,30.0
Gaviota de Franklin,Mb,30.0
Chorlo semipalmado,Mb,29.0
Perrito o cigüeñuela,R,25.0
"Huanchaco, Pecho colorado",R,23.0
Pata amarilla mayor,Mb,22.0
Garza tamanquita,R,22.0
Zarapito trinador,Mb,22.0
Falaropo de Wilson,Mb,21.0
Siete colores de la totora,R,19.0
Espiguero corbatón,Ml,19.0
Bandurria de Cara Negra,Acc,15.0
Chorlo de las rompientes,Mb,13.0
Gallineta común,R,12.0
Gavilán oscuro acanalado,R,12.0
Madrugadora o rabiblanca,R,12.0
Huaco de corona amarilla,R,11.0
Aguja de mar,Mb,9.0
Gaviotín peruano,Ml,9.0
"Turtupillín, putilla",R,9.0
Gallareta frente roja,R,9.0
Mielerito,Ml,7.0
"Gaviota centroamericana, reidora",Mb,7.0
Cotorra de wagler,Ml,7.0
Saltapalito,R,6.0
Gaviotin picudo,Acc,6.0
Garcita leonada,R,5.0
"Tordo grande, tordo negro",Ml,4.0
Playero Combatiente,H,4.0
Cernícalo,R,3.0
Chisco,R,3.0
Garza azul,R,2.0
"Violinista celeste, Luisa",Ml,2.0
Tortolita peruana,R,2.0
Gorrion europeo,R,2.0
Garza bueyera,R,2.0
Amazilia costeña,R,2.0
Tordo amazónico cabeza amarilla,R,2.0
Gallareta de frente amarilla,Acc,1.0
Dormilona cabeza oscura,Ml,1.0
"Cushuri, cormorán, cuervo de mar",Ml,1.0
"Gallareta andina, Huayno",R,1.0
Garza cuca,Ma,1.0
Aguilucho grande,Ma,1.0
Zambullidor grande,R,1.0
Vuelvepiedras,Mb,1.0
Cascabelita común,Ml,1.0
