NOMBRE COMUN,STATUS,T-2
Gaviota de Franklin,Mb,451.0
"Cushuri, cormorán, cuervo de mar",R,56.0
Yanavico,R,56.0
Gallinazo cabeza negra,R,48.0
Garza blanca chica,R,32.0
Polla de agua,R,25.0
Santa Rosita,R,25.0
Garza huaco,R,24.0
Gaviota capucho gris,R,20.0
Paloma cuculi,R,19.0
Pato colorado,R,14.0
Siete colores de la totora,R,13.0
Pato gargantillo,R,12.0
Garza bueyera,R,9.0
"Gallareta andina, Huayno",R,8.0
Cucarachero,R,7.0
Triguero común,R,6.0
Garza grande,R,5.0
Zambullidor grande,R,5.0
Garza azul,R,4.0
Zambullidor pico grueso,R,4.0
Tordo amazónico cabeza amarilla,R,3.0
Playero pico fino,Mb,3.0
Perrito o cigüeñuela,R,2.0
Gaviota dominicana,Ml,2.0
Totorero,R,2.0
Pato rana o taclón,R,2.0
Garza tamanquita,R,1.0
Garza cuca,Ma,1.0
Gavilán oscuro acanalado,R,1.0
