NOMBRE COMUN,STATUS,T-5
Ostrero negro,R,50.0
Águila pescadora,Mb,24.0
Pato gargantillo,R,23.0
Yanavico,R,14.0
Gallareta frente roja,R,10.0
Avoceta andina,Ma,7.0
Pelícano marrón,Mb,7.0
Garza cuca,Ma,5.0
"Pato jerga, Pisacca",Ma,5.0
Pato cabeza verde,H,4.0
Garza tamanquita,R,3.0
Playero Combatiente,H,3.0
Mielerito gris,R,3.0
Chorlo semipalmado,Mb,3.0
"Tordo grande, tordo negro",Ml,3.0
Zambullidor plateado,Ma,2.0
Bandurria de Cara Negra,Acc,2.0
"Turtupillín, putilla",R,2.0
Garza blanca chica,R,2.0
Huaco de corona amarilla,R,1.0
Garza bueyera,R,1.0
Espiguero corbatón,Ml,1.0
Siete colores de la totora,R,1.0
Saltapalito,R,1.0
Zambullidor grande,R,1.0
Gallareta de frente amarilla,Acc,1.0
