NOMBRE COMUN,STATUS,T-9
Gallinazo cabeza negra,R,3352.0
Gaviota de Franklin,Mb,905.0
Tortolita peruana,R,625.0
Gorrion europeo,R,450.0
Paloma cuculi,R,367.0
Águila pescadora,Mb,156.0
"Paloma doméstica, paloma de castilla",R,120.0
Cascabelita común,Ml,70.0
Cucarachero,R,64.0
Santa Rosita,R,63.0
Tortolita menuda,Ml,47.0
Amazilia costeña,R,47.0
"Turtupillín, putilla",R,46.0
Saltapalito,R,36.0
Madrugadora o rabiblanca,R,36.0
Chisco,R,22.0
Tordo parásito,R,22.0
Guardacaballo,R,22.0
Garza bueyera,R,20.0
Siete colores de la totora,R,20.0
"Tordo grande, tordo negro",Ml,18.0
Espiguero corbatón,Ml,16.0
Triguero común,R,15.0
Totorero,R,14.0
Polla de agua,R,14.0
Tordo amazónico cabeza amarilla,R,12.0
Dormilona cabeza oscura,Ml,8.0
Cernícalo,R,7.0
Gavilán oscuro acanalado,R,7.0
Garza huaco,R,7.0
Mielerito gris,R,7.0
Garza grande,R,7.0
"Gorrión americano, Pichisanka, Chingolo",R,7.0
"Violinista celeste, Luisa",Ml,7.0
Saltador listado,Ml,6.0
Mielerito,Ml,6.0
Garza blanca chica,R,4.0
"Huanchaco, Pecho colorado",R,4.0
Chorlo doble collar,R,4.0
Garza tamanquita,R,3.0
Aguilucho grande,Ma,2.0
Tirano tropical o pepite,R,2.0
Pelícano marrón,Mb,2.0
Golondrina purpúrea,Mb,2.0
Playero manchado,Mb,1.0
Huerequeque,R,1.0
"Gallareta andina, Huayno",R,1.0
Garza azul,R,1.0
